NOTE  |Author: Sardo - ver. 1.0 - 05.01.2016 
NOTE  |Updated by Arch, All Archers.  170128a
NOTE  |Attack: FF Barch, +2 tile from redline
NOTE  |Make these Troops: Archers 100% / Wizards, opt poison, opt pekka
NOTE  |Will drop Archers, All Heroes and Castle, Poison if enabled from GUI

      |---------------------------------------- four fingers barch start -----------------------------|

      |EXTR. GOLD |EXTR.ELIXIR|EXTR. DARK |DEPO. GOLD |DEPO.ELIXIR|DEPO. DARK |TOWNHALL   |FORCED SIDE|
WAIT  |500-1000   |           |           |           |           |           |           |           |Add a wait time; during wait time also CHECK exit values (exit if no resource left, exit if one or two starts reach)

      |VECTOR_____|SIDE_______|DROP_POINTS|ADDTILES___|VERSUS_____|RANDOMX_PX_|RANDOMY_PX_|___________|MAKE VECTORS TO DROP KINK, QUEEN and CASTLE
MAKE  |Q          |RANDOM     |70         |3          |INT-EXT    |2          |2          |           |random side to drop king, at 3 tile from red area
MAKE  |R          |RANDOM     |70         |3          |INT-EXT    |2          |2          |           |random side to drop queen and castle, at 3 tiles from red area
      |VECTOR_____|INDEX______|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|___________|DROP BARBARIANS 
DROP  |Q          |3          |10         |king       |0          |0          |100-500    |           |launch King                                                       king
DROP  |R          |8          |15         |castle     |0          |0          |0          |           |launch Castle                                                     castle
DROP  |R          |8          |15         |pekk       |0          |0          |0          |           |pekka, in case we have one.                                       pekka
DROP  |R          |3          |2          |queen      |0          |0          |0          |           |launch Queen                                                      queen
DROP  |R          |3          |2          |Warden     |0          |0          |0          |           |launch Grand Warden                                               Warden
DROP  |R          |3          |25         |witc       |0          |0          |0          |           |got any witches?                                                  Witch event
DROP  |R          |3          |25         |witc       |0          |0          |0          |           |got any witches?                                                  Witch event
DROP  |R          |3          |25         |witc       |0          |0          |0          |           |got any witches?                                                  Witch event
DROP  |R          |3          |25         |witc       |0          |0          |0          |           |got any witches?                                                  Witch event
RECALC|           |           |           |           |           |           |           |           |recalculate remaining troops and then launch...
WAIT  |100-300    |           |           |           |           |           |           |           |Add a wait time; during wait time also CHECK exit values (exit if no resource left, exit if one or two starts reach)


      |VECTOR_____|SIDE_______|DROP_POINTS|ADDTILES___|VERSUS_____|RANDOMX_PX_|RANDOMY_PX_|___________|MAKE ARCHERS VECTORS
MAKE  |A          |FRONT-RIGHT|10         |2          |EXT-INT    |5          |5          |           |from vertex sx and dx to middle sides (10 drop points)
MAKE  |B          |RIGHT-FRONT|10         |2          |EXT-INT    |5          |5          |           |
MAKE  |C          |LEFT-BACK  |10         |2          |EXT-INT    |5          |5          |           |
MAKE  |D          |BACK-LEFT  |10         |2          |EXT-INT    |5          |5          |           |
MAKE  |E          |FRONT-LEFT |10         |2          |INT-EXT    |5          |5          |           |from middle sides sx and dx to up and down vertex (10 drop points)
MAKE  |F          |RIGHT-BACK |10         |2          |INT-EXT    |5          |5          |           |
MAKE  |G          |LEFT-FRONT |10         |2          |INT-EXT    |5          |5          |           |
MAKE  |H          |BACK-RIGHT |10         |2          |INT-EXT    |5          |5          |           |
MAKE  |I          |FRONT-LEFT |5          |2          |EXT-INT    |5          |5          |           |from top and down vertex to middle sides (5 drop points)
MAKE  |J          |RIGHT-BACK |5          |2          |EXT-INT    |5          |5          |           |
MAKE  |K          |LEFT-FRONT |5          |2          |EXT-INT    |5          |5          |           |
MAKE  |L          |BACK-RIGHT |5          |2          |EXT-INT    |5          |5          |           |
MAKE  |M          |FRONT-RIGHT|5          |2          |INT-EXT    |5          |5          |           |from middle sides to sx and dx vertex (5 drop points)
MAKE  |N          |RIGHT-FRONT|5          |2          |INT-EXT    |5          |5          |           |
MAKE  |O          |LEFT-BACK  |5          |2          |INT-EXT    |5          |5          |           |
MAKE  |P          |BACK-LEFT  |5          |2          |INT-EXT    |5          |5          |           |
      |VECTOR_____|INDEX______|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|___________|DROP ARCHERS
DROP  |A-B-C-D    |6-10       |5-7        |arch       |0          |0          |0          |           |launch archers using all 4 vectors concurrently...                25-35 arch
DROP  |E-F-G-H    |1-4        |5-7        |arch       |0          |0          |0          |           |launch archers using all 4 vectors concurrently...                20-30 arch
DROP  |I-J-K-L    |3-5        |4-5        |arch       |0          |0          |0          |           |launch archers using all 4 vectors concurrently...                25-35 arch
DROP  |M-N-O-P    |1-3        |4-5        |arch       |0          |0          |500-1000   |           |launch archers using all 4 vectors concurrently...                20-30 arch
DROP  |M-N-O-P    |1-3        |4-5        |wiza       |0          |0          |500-1000   |           |Any wizzards remaining?  Just dump them....                       20-30 wizz
      |                                                                                               |
      |------------------------------------- four fingers barch end-----------------------------------|


